region,interest
Kansas,100
California,43
District of Columbia,36
New York,35
Washington,35
Maryland,35
Massachusetts,34
Delaware,33
Oregon,32
Virginia,32
New Jersey,29
Colorado,29
Utah,28
Texas,26
Georgia,25
Rhode Island,25
Nevada,25
Maine,25
Pennsylvania,25
North Carolina,24
Florida,23
Illinois,22
Arizona,22
Hawaii,22
Connecticut,22
Minnesota,22
Michigan,21
New Hampshire,21
Nebraska,20
Ohio,19
Oklahoma,17
Tennessee,17
Indiana,17
South Carolina,17
Louisiana,16
Kentucky,16
Wisconsin,16
Missouri,14
Arkansas,14
West Virginia,14
Alabama,13
Idaho,13
New Mexico,11
Mississippi,9
Iowa,7
